time,open,high,low,close,volume
1748736000000,99.7,101.1,98.8,100,1000
1748739600000,101.08,102.48,100.18,101.38,1025
1748743200000,102.45,103.85,101.55,102.75,1050
1748746800000,103.77,105.17,102.87,104.07,1075
1748750400000,105.05,106.45,104.15,105.35,1100
1748754000000,106.25,107.65,105.35,106.55,1125
1748757600000,107.37,108.77,106.47,107.67,1150
1748761200000,108.4,109.8,107.5,108.7,1175
1748764800000,109.31,110.71,108.41,109.61,1200
1748768400000,110.1,111.5,109.2,110.4,1225
1748772000000,110.77,112.17,109.87,111.07,1250
1748775600000,111.31,112.71,110.41,111.61,1275
1748779200000,111.72,113.12,110.82,112.02,1300
1748782800000,112,113.4,111.1,112.3,1325
1748786400000,112.15,113.55,111.25,112.45,1350
1748790000000,112.17,113.57,111.27,112.47,1375
1748793600000,112.08,113.48,111.18,112.38,1400
1748797200000,111.88,113.28,110.98,112.18,1000
1748800800000,111.6,113,110.7,111.9,1025
1748804400000,111.22,112.62,110.32,111.52,1050
1748808000000,110.79,112.19,109.89,111.09,1075
1748811600000,110.3,111.7,109.4,110.6,1100
1748815200000,109.78,111.18,108.88,110.08,1125
1748818800000,109.24,110.64,108.34,109.54,1150
1748822400000,108.71,110.11,107.81,109.01,1175
1748826000000,108.19,109.59,107.29,108.49,1200
1748829600000,107.7,109.1,106.8,108,1225
1748833200000,107.26,108.66,106.36,107.56,1250
1748836800000,106.88,108.28,105.98,107.18,1275
1748840400000,106.57,107.97,105.67,106.87,1300
1748844000000,106.35,107.75,105.45,106.65,1325
1748847600000,106.22,107.62,105.32,106.52,1350
1748851200000,106.18,107.58,105.28,106.48,1375
1748854800000,106.25,107.65,105.35,106.55,1400
1748858400000,106.42,107.82,105.52,106.72,1000
1748862000000,106.68,108.08,105.78,106.98,1025
1748865600000,107.05,108.45,106.15,107.35,1050
1748869200000,107.5,108.9,106.6,107.8,1075
1748872800000,108.04,109.44,107.14,108.34,1100
1748876400000,108.65,110.05,107.75,108.95,1125
1748880000000,109.31,110.71,108.41,109.61,1150
1748883600000,110.02,111.42,109.12,110.32,1175
1748887200000,110.77,112.17,109.87,111.07,1200
1748890800000,111.52,112.92,110.62,111.82,1225
1748894400000,112.28,113.68,111.38,112.58,1250
1748898000000,113.01,114.41,112.11,113.31,1275
1748901600000,113.71,115.11,112.81,114.01,1300
1748905200000,114.35,115.75,113.45,114.65,1325
1748908800000,114.92,116.32,114.02,115.22,1350
1748912400000,115.41,116.81,114.51,115.71,1375
1748916000000,115.81,117.21,114.91,116.11,1400
1748919600000,116.09,117.49,115.19,116.39,1000
1748923200000,116.25,117.65,115.35,116.55,1025
1748926800000,116.28,117.68,115.38,116.58,1050
1748930400000,116.18,117.58,115.28,116.48,1075
1748934000000,115.95,117.35,115.05,116.25,1100
1748937600000,115.58,116.98,114.68,115.88,1125
1748941200000,115.07,116.47,114.17,115.37,1150
1748944800000,114.44,115.84,113.54,114.74,1175
1748948400000,113.68,115.08,112.78,113.98,1200
1748952000000,112.81,114.21,111.91,113.11,1225
