time,open,high,low,close,volume
1735689600000,99.63,101.13,99.13,100.13,1000
1735693200000,100.57,102.07,100.07,101.07,1000
1735696800000,99.41,100.91,98.91,99.91,1000
1735700400000,101.83,103.33,101.33,102.33,1000
1735704000000,100.99,102.49,100.49,101.49,1000
1735707600000,103.37,104.87,102.87,103.87,1000
1735711200000,101.71,103.21,101.21,102.21,1000
1735714800000,104.09,105.59,103.59,104.59,1000
1735718400000,102.53,104.03,102.03,103.03,1000
1735722000000,105.21,106.71,104.71,105.71,1000
1735725600000,103.87,105.37,103.37,104.37,1000
1735729200000,105.69,107.19,105.19,106.19,1000
