afterBar,intent,status,filledQty,avgFillPrice,orderRef,text
40,1,working,0,none,ORD-1,
40,1,filled,1084,110.07,ORD-1,
63,3,working,0,none,ORD-2,
63,3,filled,1084,108.38000000000001,ORD-2,
95,4,working,0,none,ORD-3,
95,4,filled,1082,100.58,ORD-3,
105,6,working,0,none,ORD-4,
105,6,filled,1082,97.22,ORD-4,
129,7,working,0,none,ORD-5,
129,7,filled,1086,98.11,ORD-5,
198,9,working,0,none,ORD-6,
198,9,filled,1086,116.36,ORD-6,
228,10,working,0,none,ORD-7,
228,10,filled,1086,111.39999999999999,ORD-7,
233,12,working,0,none,ORD-8,
233,12,filled,1086,109.28,ORD-8,
264,13,working,0,none,ORD-9,
264,13,filled,1086,104.42999999999999,ORD-9,
333,15,working,0,none,ORD-10,
333,15,filled,1086,123.21000000000001,ORD-10,
356,16,working,0,none,ORD-11,
356,16,filled,1086,123.66,ORD-11,
367,18,working,0,none,ORD-12,
367,18,filled,1086,119.33,ORD-12,
