afterBar,intent,status,filledQty,avgFillPrice,orderRef,text,time
40,1,working,0,none,ORD-1,,1748880000000
41,1,rejected,0,none,ORD-1,not enough margin,1748883600000
95,3,working,0,none,ORD-2,,1749078000000
97,3,expired,0,none,ORD-2,,1749085200000
129,5,working,0,none,ORD-3,,1749200400000
130,5,cancelled,0,none,ORD-3,,1749204000000
228,7,working,0,none,ORD-4,,1749556800000
228,7,filled,1086,111.39999999999999,ORD-4,,1749556800000
233,9,working,0,none,ORD-5,,1749574800000
233,9,filled,1086,109.28,ORD-5,,1749574800000
264,10,working,0,none,ORD-6,,1749686400000
264,10,filled,1086,104.42999999999999,ORD-6,,1749686400000
333,12,working,0,none,ORD-7,,1749934800000
333,12,filled,1086,123.21000000000001,ORD-7,,1749934800000
356,13,working,0,none,ORD-8,,1750017600000
356,13,filled,1086,123.66,ORD-8,,1750017600000
367,15,working,0,none,ORD-9,,1750057200000
367,15,filled,1086,119.33,ORD-9,,1750057200000
