afterBar,intent,status,filledQty,avgFillPrice,orderRef,text,time
40,1,working,0,none,ORD-1,,1748880000000
41,1,cancelled,0,none,ORD-1,,1748883600000
42,1,filled,1084,111.11999999999999,ORD-1,,1748887200000
63,3,working,0,none,ORD-2,,1748962800000
63,3,filled,1084,108.38000000000001,ORD-2,,1748962800000
95,4,working,0,none,ORD-3,,1749078000000
95,4,filled,1082,100.58,ORD-3,,1749078000000
105,6,working,0,none,ORD-4,,1749114000000
105,6,filled,1082,97.22,ORD-4,,1749114000000
129,7,working,0,none,ORD-5,,1749200400000
129,7,filled,1086,98.11,ORD-5,,1749200400000
198,9,working,0,none,ORD-6,,1749448800000
198,9,filled,1086,116.36,ORD-6,,1749448800000
228,10,working,0,none,ORD-7,,1749556800000
228,10,filled,1086,111.39999999999999,ORD-7,,1749556800000
233,12,working,0,none,ORD-8,,1749574800000
233,12,filled,1086,109.28,ORD-8,,1749574800000
264,13,working,0,none,ORD-9,,1749686400000
264,13,filled,1086,104.42999999999999,ORD-9,,1749686400000
333,15,working,0,none,ORD-10,,1749934800000
333,15,filled,1086,123.21000000000001,ORD-10,,1749934800000
356,16,working,0,none,ORD-11,,1750017600000
356,16,filled,1086,123.66,ORD-11,,1750017600000
367,18,working,0,none,ORD-12,,1750057200000
367,18,filled,1086,119.33,ORD-12,,1750057200000
