afterBar,intent,status,filledQty,avgFillPrice,orderRef,text,time
1,1,working,0,none,ORD-1,,1748739600000
1,1,filled,1,102.5,ORD-1,,1748739600000
5,3,working,0,none,ORD-2,,1748754000000
5,3,filled,1,107.32000000000001,ORD-2,,1748754000000
27,4,working,0,none,ORD-3,,1748833200000
27,4,filled,1,106.83,ORD-3,,1748833200000
29,6,working,0,none,ORD-4,,1748840400000
29,6,filled,1,106.39999999999999,ORD-4,,1748840400000
51,7,working,0,none,ORD-5,,1748919600000
51,7,filled,1,116.3,ORD-5,,1748919600000
53,9,working,0,none,ORD-6,,1748926800000
53,9,filled,1,116.13000000000001,ORD-6,,1748926800000
74,10,working,0,none,ORD-7,,1749002400000
74,10,filled,1,96.33,ORD-7,,1749002400000
77,12,working,0,none,ORD-8,,1749013200000
77,12,filled,1,95,ORD-8,,1749013200000
103,13,working,0,none,ORD-9,,1749106800000
103,13,filled,1,98.56,ORD-9,,1749106800000
104,15,working,0,none,ORD-10,,1749110400000
104,15,filled,1,98.02,ORD-10,,1749110400000
123,16,working,0,none,ORD-11,,1749178800000
123,16,filled,1,91.95,ORD-11,,1749178800000
125,18,working,0,none,ORD-12,,1749186000000
125,18,filled,1,93.52,ORD-12,,1749186000000
156,19,working,0,none,ORD-13,,1749297600000
156,19,filled,1,110.64,ORD-13,,1749297600000
157,21,working,0,none,ORD-14,,1749301200000
157,21,filled,1,110.45,ORD-14,,1749301200000
170,22,working,0,none,ORD-15,,1749348000000
170,22,filled,1,114.46,ORD-15,,1749348000000
173,24,working,0,none,ORD-16,,1749358800000
173,24,filled,1,117.26,ORD-16,,1749358800000
194,25,working,0,none,ORD-17,,1749434400000
194,25,filled,1,120.76,ORD-17,,1749434400000
197,27,working,0,none,ORD-18,,1749445200000
197,27,filled,1,117.59,ORD-18,,1749445200000
219,28,working,0,none,ORD-19,,1749524400000
219,28,filled,1,109.28999999999999,ORD-19,,1749524400000
221,30,working,0,none,ORD-20,,1749531600000
221,30,filled,1,110.03,ORD-20,,1749531600000
242,31,working,0,none,ORD-21,,1749607200000
242,31,filled,1,100.87,ORD-21,,1749607200000
245,33,working,0,none,ORD-22,,1749618000000
245,33,filled,1,98.23,ORD-22,,1749618000000
265,34,working,0,none,ORD-23,,1749690000000
265,34,filled,1,105.57,ORD-23,,1749690000000
269,36,working,0,none,ORD-24,,1749704400000
269,36,filled,1,109.65,ORD-24,,1749704400000
299,37,working,0,none,ORD-25,,1749812400000
299,37,filled,1,114.39,ORD-25,,1749812400000
300,39,working,0,none,ORD-26,,1749816000000
300,39,filled,1,115.18,ORD-26,,1749816000000
314,40,working,0,none,ORD-27,,1749866400000
314,40,filled,1,130.55,ORD-27,,1749866400000
317,42,working,0,none,ORD-28,,1749877200000
317,42,filled,1,131.98,ORD-28,,1749877200000
338,43,working,0,none,ORD-29,,1749952800000
338,43,filled,1,119.88000000000001,ORD-29,,1749952800000
341,45,working,0,none,ORD-30,,1749963600000
341,45,filled,1,119.11,ORD-30,,1749963600000
364,46,working,0,none,ORD-31,,1750046400000
364,46,filled,1,121.85000000000001,ORD-31,,1750046400000
365,48,working,0,none,ORD-32,,1750050000000
365,48,filled,1,121.21,ORD-32,,1750050000000
392,49,working,0,none,ORD-33,,1750147200000
392,49,filled,1,106.23,ORD-33,,1750147200000
393,51,working,0,none,ORD-34,,1750150800000
393,51,filled,1,106.91,ORD-34,,1750150800000
