afterBar,intent,status,filledQty,avgFillPrice,orderRef,text
1,1,working,0,none,ORD-1,
1,1,filled,1,102.5,ORD-1,
5,3,working,0,none,ORD-2,
5,3,filled,1,107.32000000000001,ORD-2,
27,4,working,0,none,ORD-3,
27,4,filled,1,106.83,ORD-3,
29,6,working,0,none,ORD-4,
29,6,filled,1,106.39999999999999,ORD-4,
51,7,working,0,none,ORD-5,
51,7,filled,1,116.3,ORD-5,
53,9,working,0,none,ORD-6,
53,9,filled,1,116.13000000000001,ORD-6,
74,10,working,0,none,ORD-7,
74,10,filled,1,96.33,ORD-7,
77,12,working,0,none,ORD-8,
77,12,filled,1,95,ORD-8,
103,13,working,0,none,ORD-9,
103,13,filled,1,98.56,ORD-9,
104,15,working,0,none,ORD-10,
104,15,filled,1,98.02,ORD-10,
123,16,working,0,none,ORD-11,
123,16,filled,1,91.95,ORD-11,
125,18,working,0,none,ORD-12,
125,18,filled,1,93.52,ORD-12,
156,19,working,0,none,ORD-13,
156,19,filled,1,110.64,ORD-13,
157,21,working,0,none,ORD-14,
157,21,filled,1,110.45,ORD-14,
170,22,working,0,none,ORD-15,
170,22,filled,1,114.46,ORD-15,
173,24,working,0,none,ORD-16,
173,24,filled,1,117.26,ORD-16,
194,25,working,0,none,ORD-17,
194,25,filled,1,120.76,ORD-17,
197,27,working,0,none,ORD-18,
197,27,filled,1,117.59,ORD-18,
219,28,working,0,none,ORD-19,
219,28,filled,1,109.28999999999999,ORD-19,
221,30,working,0,none,ORD-20,
221,30,filled,1,110.03,ORD-20,
242,31,working,0,none,ORD-21,
242,31,filled,1,100.87,ORD-21,
245,33,working,0,none,ORD-22,
245,33,filled,1,98.23,ORD-22,
265,34,working,0,none,ORD-23,
265,34,filled,1,105.57,ORD-23,
269,36,working,0,none,ORD-24,
269,36,filled,1,109.65,ORD-24,
299,37,working,0,none,ORD-25,
299,37,filled,1,114.39,ORD-25,
300,39,working,0,none,ORD-26,
300,39,filled,1,115.18,ORD-26,
314,40,working,0,none,ORD-27,
314,40,filled,1,130.55,ORD-27,
317,42,working,0,none,ORD-28,
317,42,filled,1,131.98,ORD-28,
338,43,working,0,none,ORD-29,
338,43,filled,1,119.88000000000001,ORD-29,
341,45,working,0,none,ORD-30,
341,45,filled,1,119.11,ORD-30,
364,46,working,0,none,ORD-31,
364,46,filled,1,121.85000000000001,ORD-31,
365,48,working,0,none,ORD-32,
365,48,filled,1,121.21,ORD-32,
392,49,working,0,none,ORD-33,
392,49,filled,1,106.23,ORD-33,
393,51,working,0,none,ORD-34,
393,51,filled,1,106.91,ORD-34,
