time,open,high,low,close,volume
1736121600000,79.5,80.5,79,80,1000
1736125200000,83.25,85.25,82.75,83.75,1750
1736128800000,80.25,83.25,79.75,80.75,1500
1736132400000,84,85,83.5,84.5,1250
1736136000000,81,83,80.5,81.5,1000
1736139600000,84.75,87.75,84.25,85.25,1750
1736143200000,81.75,82.75,81.25,82.25,1500
1736146800000,85.5,87.5,85,86,1250
1736150400000,82.5,85.5,82,83,1000
1736154000000,79.5,80.5,79,80,1750
1736157600000,83.25,85.25,82.75,83.75,1500
1736161200000,80.25,83.25,79.75,80.75,1250
1736164800000,84,85,83.5,84.5,1000
