time,open,high,low,close,volume
1736128800000,100,101.5,99.5,100.5,1000
1736132400000,100.75,101.5,100.25,101.25,1000
1736136000000,99.25,101.75,98.75,99.75,1000
1736139600000,102,103,101.5,102.5,1000
1736143200000,100.5,102.5,100,101,1000
1736146800000,103.25,104.5,102.75,103.75,1000
1736150400000,101.75,103.25,101.25,102.25,1000
1736154000000,104,104.75,103.5,104.5,1000
1736157600000,102.5,105.5,102,103,1000
1736161200000,105,106,104.5,105.5,1000
1736164800000,103.75,105.25,103.25,104.25,1000
1736168400000,105.5,106.75,105,106,1000
