time,open,high,low,close,volume
1736121600000,59.5,61,59,60,1000
1736125200000,63,64.5,62.5,63.5,1000
1736128800000,61.5,63,61,62,1000
1736132400000,60,61.5,59.5,60.5,1000
1736136000000,63.5,65,63,64,1000
1736139600000,62,63.5,61.5,62.5,1000
1736143200000,60.5,62,60,61,1000
1736146800000,64,65.5,63.5,64.5,1000
1736150400000,62.5,64,62,63,1000
1736154000000,61,62.5,60.5,61.5,1000
1736157600000,59.5,61,59,60,1000
1736161200000,63,64.5,62.5,63.5,1000
1736164800000,61.5,63,61,62,1000
1736168400000,60,61.5,59.5,60.5,1000
1736172000000,63.5,65,63,64,1000
1736175600000,62,63.5,61.5,62.5,1000
