bar,Day range,Week open,Month close
0,none,199.5,none
1,none,199.5,none
2,none,199.5,none
3,none,199.5,none
4,7.5,199.5,none
5,7.5,199.5,none
6,7.5,199.5,none
7,7.5,199.5,none
8,5.75,199.5,204.25
9,5.75,199.5,204.25
10,5.75,199.5,204.25
11,5.75,199.5,204.25
12,6,199.5,204.25
13,6,199.5,204.25
14,6,199.5,204.25
15,6,199.5,204.25
16,5.25,204.5,204.25
17,5.25,204.5,204.25
18,5.25,204.5,204.25
19,5.25,204.5,204.25
20,5.5,204.5,204.25
21,5.5,204.5,204.25
22,5.5,204.5,204.25
23,5.5,204.5,204.25
24,6,204.5,204.25
25,6,204.5,204.25
26,6,204.5,204.25
27,6,204.5,204.25
28,6.75,204.5,204.25
29,6.75,204.5,204.25
30,6.75,204.5,204.25
31,6.75,204.5,204.25
32,5.5,204.5,204.25
33,5.5,204.5,204.25
34,5.5,204.5,204.25
35,5.5,204.5,204.25
36,5.75,213.5,204.25
37,5.75,213.5,204.25
38,5.75,213.5,204.25
39,5.75,213.5,204.25
40,6.75,213.5,204.25
41,6.75,213.5,204.25
42,6.75,213.5,204.25
43,6.75,213.5,204.25
