time,open,high,low,close,volume
1736128800000,99.5,101,99,100,1000
1736132400000,103,104.5,102.5,103.5,1000
1736136000000,101.5,103,101,102,1000
1736139600000,105,106.5,104.5,105.5,1000
1736143200000,103.5,105,103,104,1000
1736146800000,102,103.5,101.5,102.5,1000
1736150400000,105.5,107,105,106,1000
1736154000000,104,105.5,103.5,104.5,1000
1736157600000,107.5,109,107,108,1000
1736161200000,106,107.5,105.5,106.5,1000
1736164800000,104.5,106,104,105,1000
1736168400000,108,109.5,107.5,108.5,1000
1736172000000,106.5,108,106,107,1000
1736175600000,110,111.5,109.5,110.5,1000
