bar,Confirmed close,Developing close,Lookahead close,Confirmed average,Developing average,Lookahead average
0,none,100,103.5,none,none,none
1,none,103.5,103.5,none,none,none
2,103.5,102,102.5,none,none,none
3,103.5,105.5,102.5,none,none,none
4,103.5,104,102.5,none,none,none
5,103.5,102.5,102.5,none,none,none
6,102.5,106,106.5,none,104,104.16666666666667
7,102.5,104.5,106.5,none,103.5,104.16666666666667
8,102.5,108,106.5,none,104.66666666666667,104.16666666666667
9,102.5,106.5,106.5,none,104.16666666666667,104.16666666666667
10,106.5,105,110.5,104.16666666666667,104.66666666666667,106.5
11,106.5,108.5,110.5,104.16666666666667,105.83333333333333,106.5
12,106.5,107,110.5,104.16666666666667,105.33333333333333,106.5
13,106.5,110.5,110.5,104.16666666666667,106.5,106.5
